華語詞,序號,客語漢字,客語拼音,標籤,備註
一下,0,一下,rhid5 ha33,,
一半,0,一半,rhid5 ban11,,
一旦,0,一旦,rhid5 dan24,,
一生,0,一生,rhid5 sen53,,
上海,0,上海,shong33 hoi24,,
上述,0,上述,shong33 sud2,,
不再,0,不再,bud5 zai11,,
不可,0,不可,bud5 ko24,,
不少,0,不少,bud5 shau24,,
不必,0,毋使,m55 sii24,,
不斷,0,不停,bud5 tin55,,
不錯,0,不錯,bud5 co11,,
並且,0,並且,bin11 cia24,,
中共,0,中共,zhung53 kiung33,,
中文,0,中文,zhung53 vun55,,
中華,0,中華,zhung53 fa55,,
主任,0,主任,zhu24 rhim33,,
主席,0,主席,zhu24 sid2,,
主義,0,主義,zhu24 ngi33,,
之下,0,之下,zii53 ha33,,
之中,0,之中,zii53 zhung53,,
之外,0,之外,zii53 ngoi33,,
亞洲,0,亞洲,a24 zhiu53,,
交通,0,交通,gau53 tung53,,
人們,0,大家人,tai33 ga53 ngin55,,
人力,0,人力,ngin55 lid2,,
人家,0,人家,ngin55 ga53,,
人數,0,人數,ngin55 su11,,
人物,0,人物,ngin55 vud2,,
仍然,0,本本,bun24 bun24,,
以往,0,以前,rhi53 cien55,,
位於,0,位於,vui33 rhi55,,
作業,0,作業,zog5 ngiab2,,
作用,0,作用,zog5 rhung33,,
來自,0,來自,loi55 cii33,,
保持,0,保持,bo24 chi55,,
做為,0,做為,zo11 vui55,,
價格,0,價格,ga11 gied5,,
充滿,0,充滿,chung53 man53,,
全球,0,全球,cion55 kiu55,,
兩岸,0,兩岸,liong24 ngan33,,
公共,0,公共,gung53 kiung33,,
公尺,0,公尺,gung53 chag5,,
公平,0,公平,gung53 pin55,,
公路,0,公路,gung53 lu33,,
公開,0,公開,gung53 koi53,,
其它,0,其它,ki55 ta53,,
分別,0,分別,fun53 pied2,,
分為,0,分為,fun53 vui55,,
分鐘,0,分鐘,fun53 zhung53,,
前往,0,前往,cien55 vong53,,
加上,0,加上,ga53 shong33,,
加以,0,加勝,ga53 shin11,,
加入,0,加入,ga53 ngib2,,
北京,0,北京,bed5 gin53,,
協助,0,協助,hiab2 cu33,,
博士,0,博士,bog5 sii33,,
危機,0,危機,ngui55 gi53,,
即將,0,黏皮,ngiam55 pi55,,
即將,1,黏時,ngiam55 shi55,,
反對,0,反對,fan24 dui11,,
取得,0,取得,ci24 ded5,,
只好,0,只好,zhi24 ho24,,
只好,1,高不將,go53 bud5 ziong53,,
只有,0,只有,zhi24 rhiu53,,
召開,0,召開,shau11 koi53,,
台大,0,台大,toi55 tai33,,
同意,0,同意,tung55 rhi11,,
否則,0,否則,feu24 zed5,,
吸引,0,吸引,kib5 rhin53,,
唯一,0,唯一,vui55 rhid5,,
商品,0,商品,shong53 pin24,,
嚴重,0,嚴重,ngiam55 chung33,,
回到,0,轉到,zhon24 do11,,
回答,0,回答,fui55 dab5,,
因而,0,所以,so24 rhi53,,
國中,0,國中,gued5 zhung53,,
國人,0,國人,gued5 ngin55,,
國外,0,國外,gued5 ngoi33,,
國民,0,國民,gued5 min55,,
在於,0,在於,cai33 rhi55,,
地球,0,地球,ti33 kiu55,,
型態,0,型態,hin55 tai11,,
基本,0,基本,gi53 bun24,,
堅持,0,堅持,gien53 chi55,,
報告,0,報告,bo11 go11,,
大型,0,大型,tai33 hin55,,
大會,0,大會,tai33 fui33,,
大樓,0,大樓,tai33 leu55,,
大眾,0,大眾,tai33 zhung11,,
大約,0,大約,tai33 rhog5,,
大量,0,大量,tai33 liong33,,
失去,0,失去,shid5 hi11,,
她們,0,佢兜,gi55 deu53,,
委員,0,委員,vui53 rhan55,,
婚姻,0,婚姻,fun53 rhin53,,
媒體,0,媒體,moi55 ti24,,
孔子,0,孔子,kung24 zii24,,
存在,0,存在,sun55 cai33,,
學院,0,學院,hog2 rhan11,,
它們,0,佢兜,gi55 deu53,,
安排,0,安排,on53 pai55,,
客戶,0,客戶,hag5 fu33,,
實在,0,實在,shid2 cai33,,
實施,0,施行,shi53 hang55,,
專案,0,專案,zhon53 on11,,
專業,0,專業,zhon53 ngiab2,,
導致,0,導致,to33 zhi11,,
小姐,0,小姐,siau24 zi24,,
小時,0,小時,siau24 shi55,,
小組,0,小組,siau24 zu53,,
少數,0,少數,shau24 su11,,
就是,0,就係,ciu33 he11,,
尼奧,0,尼奧,ni55 o11,,
屬於,0,屬於,shug2 rhi55,,
工人,0,工人,gung53 ngin55,,
工廠,0,工廠,gung53 chong24,,
差異,0,差異,ca53 rhi11,,
