華語詞,序號,客語漢字,客語拼音,標籤,備註
一些,0,一息仔,id2 xid5 e31,,
一切,0,一切,id2 qied2,,
一同,0,共下,kiung55 ha55,,
一度,0,一擺,id2 bai31,,
一直,0,一直,id2 ciid5,,
一般,0,一般,id2 ban24,,
一萬,0,一萬,id2 van55,,
一連串,0,連續,lien11 sa55,,
三年級,0,三年生,sam24 ngien11 sen24,,
上升,0,上升,song55 siin24,,
上漲,0,起價,hi31 ga55,,
下降,0,降低,gong55 dai24,,
不佳,0,無異好,mo11 i55 ho31,,
不免,0,免不了,mien24 bud2 liau31,,
不利,0,不利,bud2 li55,,
不到,0,無到,mo11 do55,,
不安,0,無安心,mo11 on24 xim24,,
不宜,0,毋好,m11 ho31,,
不景氣,0,景氣毋好,gin31 hi55 m11 ho31,,
不然,0,係無,he55 mo11,,
不致,0,毋會引起,m11 voi55 in24 hi31,,
不見得,0,無一定,mo11 id2 tin55,,
不變,0,無變,mo11 bien55,,
丘子章,0,丘子章,hiu24 zii31 zong24,,
中國,0,中國,zung24 gued2,,
中年,0,中年,zung24 ngien11,,
中心,0,中心,zung24 xim24,,
中旬,0,中旬,zung24 sun11,,
主因,0,主要原因,zu31 ieu55 ngien11 in24,,
主委,0,主委,zu31 vi24,,
主持人,0,主持人,zu31 cii11 ngin11,,
主權,0,主權,zu31 kien11,,
主體,0,主體,zu31 ti31,,
乃是,0,就係,qiu55 he55,,
之後,0,過後,go55 heu55,,
之間,0,之間,zii24 gien24,,
之類,0,這類,ia31 lui55,,
事宜,0,事宜,sii55 ngi11,,
事情,0,事情,sii55 qin11,,
二年級,0,二年生,ngi55 ngien11 sen24,,
交給,0,交分,gau24 bun24,,
交通部,0,交通部,gau24 tung24 pu55,,
享有,0,享有,hiong31 iu24,,
人員,0,人員,ngin11 ien11,,
人工,0,人工,ngin11 gung24,,
人心,0,人心,ngin11 xim24,,
人類,0,人類,ngin11 lui55,,
介入,0,參插,cam24 cab31,,
介面,0,介面,gie55 mien55,,
代替,0,代換,toi55 von55,,
以上,0,以上,i24 song55,,
以及,0,摎,lau24,,
企圖,0,計畫,gie55 vag55,,
企業,0,企業,ki24 ngiab5,,
企業界,0,企業界,ki24 ngiab5 gie55,,
